GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,Combo.NivelCombo,34,0,0,0,2,0,1,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,Usuario.RolUsuario,3,54,0,0,1,2,1,1,1,1
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,Jornada,4,0,0,0,2,0,1,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,HistorialJornada.TipoAsignacion,24,0,0,0,2,0,1,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,AuditLog,53,0,2,0,16,0,3,0,2,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,TematicaPregunta,7,0,2,0,3,0,2,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,Cuestionario,19,24,7,5,3,4,8,1,2,1
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,TematicaCombo,7,0,2,0,3,0,2,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,Jornada.EstadoJornada,0,54,0,0,0,2,0,1,0,1
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,PreguntaCuestionario,39,0,12,0,5,0,8,0,2,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,HistorialJornada.EstadoAsignacion,44,0,0,0,2,0,1,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,Combo.TipoCombo,44,0,0,0,5,0,1,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,ConfiguracionGlobal,12,0,0,0,5,0,1,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,SubtemaPregunta,7,0,2,0,3,0,2,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,Combo.EstadoCombo,0,84,0,0,0,2,0,1,0,1
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,Pregunta.FactorPregunta,34,0,0,0,2,0,1,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,PreguntaCombo,39,0,12,0,5,0,8,0,2,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,Programa.EstadoPrograma,0,54,0,0,0,2,0,1,0,1
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,Pregunta.EstadoDisponibilidad,44,0,0,0,2,0,1,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,Programa,25,0,6,0,8,0,4,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,Combo,39,0,12,0,5,0,8,0,2,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,Pregunta.NivelPregunta,74,0,0,0,2,0,1,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,EditLock,12,0,4,0,1,0,3,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.entity,HistorialJornada,4,0,0,0,2,0,1,0,1,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls,LsnlsApplication,8,0,0,0,3,0,2,0,2,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.config,DatabaseMigrationRunner,213,0,30,0,59,0,19,0,4,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.config,EstadoCuestionarioConverter,10,0,0,0,4,0,2,0,2,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.config,JacksonConfig,42,0,0,0,10,0,3,0,3,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.config,GlobalExceptionHandler,140,0,4,0,28,0,18,0,16,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.config,CacheConfig,49,0,0,0,5,0,2,0,2,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.config,SecurityConfig,200,0,0,0,40,0,11,0,11,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.config,DataSourceDiagnostics,135,0,8,0,24,0,7,0,3,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.config,EncodingConfig,34,0,0,0,11,0,3,0,3,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.config,JwtAuthenticationFilter,320,0,40,0,80,0,24,0,4,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.config,MensajesUsuario,279,0,102,0,72,0,63,0,12,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.config,ErrorResponseAdvice,175,0,30,0,40,0,20,0,5,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.config,UndoHeaderAdvice,22,0,2,0,7,0,4,0,3,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.config,WebConfig,77,0,0,0,19,0,5,0,5,0
LSNLS - Sistema de Gestión de Preguntas y Concursantes,com.lsnls.config,AsyncConfig,127,0,0,0,41,0,5,0,5,0
